X,Y,id,Name,Capacity,Congestion
-103.431989,20.67830203,6886904,DOLCE NATURA,10,0
-103.428923,20.67394917,8979395,KAMARON,10,0
-103.4290899,20.67935442,1652806,PALETAS MANHATTAN,10,0
-103.4357097,20.6797335,1652986,LA PALETA,10,0
-103.4292623,20.67837412,1699511,HAAGEN DAZS GALERIAS GUADALAJARA,50,0
-103.4335957,20.68170502,6342543,MI BODEGA SAYULA  2059,150,0
-103.4309078,20.68069151,6343729,SAM S LA ESTANCIA  6395,500,0
-103.4310157,20.68071385,6343728,SUPERCENTER VALLARTA  2342,500,0
-103.4345517,20.68190418,6344738,TIENDAS CHEDRAUI VALLARTA T108,500,0
-103.4372162,20.68064267,8979271,ALMA DEL PAN,70,0
-103.43488,20.67975764,7230308,FRUTAS Y VERDURAS EL PUEBLITO,10,0
-103.4290031,20.68395073,7113427,NON GUILTY,10,0
-103.4290031,20.68395073,7113491,MIEL & CANELA,10,0
-103.4282791,20.68225619,1640137,IMPORTADORA Y EXPORTADORA EL TIO SAM,10,0
-103.4292533,20.67841096,1699512,BEST BUY,150,0
-103.4376428,20.68456078,1699297,LAS MILY UNA ESPECIES,10,0
-103.4329581,20.68290023,1640142,PANIFICADORA KAREY,30,0
-103.4346694,20.68143991,7113486,VINOS Y LICORES LOSCOMPADRES,10,0
-103.4300851,20.67499619,6344902,LA EUROPEA GUADALAJARA,50,0
-103.4359747,20.67918321,1699381,DULCERÖA Y PLµSTICOS BETICOLIN,10,0
-103.4375853,20.6822045,6337211,PRODUCTOS VERDE VALLE,1000,0
-103.4349562,20.67931112,1652970,CARNICERIA LOS PRIMOS,10,0
-103.4342638,20.67758958,1652991,CARNICERIA,10,0
-103.4291434,20.67913009,6420250,COSTCO DE MEXICO SUCURSAL ZAPOPAN,1000,0
-103.4296908,20.67524365,6342216,TIENDAS SORIANA GUADALAJARA SUC 132,500,0
-103.4324985,20.68413856,7113429,CARNICERIA UNICA,10,0
-103.4358578,20.67902055,8606246,CARNICERIA EL PECHA,10,0
-103.4380749,20.68291117,1640198,CARNICERIA SIN NOMBRE,10,0
-103.4356431,20.6798438,1640170,POLLERIA PATYS,10,0
-103.4296719,20.67668054,6339595,ARNOLDI,10,0
-103.4355798,20.68091216,7230309,DULCERIA OCHO BOMBONES,10,0
-103.4292533,20.67841096,1652880,DULCERÖA CHILIM BALAM,10,0
-103.4358839,20.67889473,1652981,DULCE RISA,10,0
-103.4366842,20.68018635,1640218,PRODUCTOS DE LIMPIEZA,10,0
-103.437007,20.68450405,7113027,LA CASA DEL DETERGENTE,10,0
-103.4359918,20.67830251,1699396,EZ CLEAN,10,0
-103.4214361,20.67918564,6881555,ULTRAKLIN,10,0
-103.4372433,20.67842752,1652952,LECHERIA LICONSA,10,0
-103.42974,20.67413617,6744223,LACTIN,10,0
-103.4377819,20.68448506,7920422,CREMERIA ARANDAS,10,0
-103.4365153,20.68050639,7230304,CREMERIA RUBEN,10,0
-103.4364033,20.67716789,1699465,REAL DEL PUEBLITO,10,0
-103.4279598,20.68351029,6342760,OXXO SUC 50NLI NOVELISTAS GDL,30,0
-103.4295266,20.67728137,6340352,OXXO SUC 50ZBL GALERIAS GDL,30,0
-103.4279898,20.68340946,6337135,OXXO SUC 50SKU CALANDRIAS GDL,30,0
-103.4357092,20.67973608,6337137,OXXO SUC 50VJV STAMADELPUEBLITO GDL,30,0
-103.4330735,20.68291718,6337488,OXXO SUC 50KLO LOMAS UNIVERSIDADGDL,30,0
-103.4358945,20.67884405,1699400,MICKYS,10,0
-103.4302004,20.67337345,6233897,7-ELEVEN SUC. 1157 BIZET Y SANZIO,30,0
